,Mobile name,Mobile Price,Mobile Images,Mobile Links
0,"realme Narzo 50i (Mint Green, 32 GB)","7,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/s/o/j/narzo-50i-rmx3231-realme-original-imag75h86v5thnzy.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-mint-green-32-gb/p/itm53fa214c23501?pid=MOBG6MY4BU22NQYT&lid=LSTMOBG6MY4BU22NQYTSR1ENM&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG6MY4BU22NQYT.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
1,"realme Narzo 50i (Carbon Black, 32 GB)","7,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/h/b/c/narzo-50i-rmx3231-realme-original-imag75hcyzzggbat.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-carbon-black-32-gb/p/itm53fa214c23501?pid=MOBG6MY4QPAW6PQN&lid=LSTMOBG6MY4QPAW6PQN7E18VA&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG6MY4QPAW6PQN.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
2,"realme Narzo 50i (Carbon Black, 64 GB)","8,999",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/h/b/c/narzo-50i-rmx3231-realme-original-imag75hcyzzggbat.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-carbon-black-64-gb/p/itm53fa214c23501?pid=MOBG6MY4ZDGGZ8Q9&lid=LSTMOBG6MY4ZDGGZ8Q9S886KJ&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG6MY4ZDGGZ8Q9.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
3,"realme Narzo 50i (Mint Green, 64 GB)","8,999",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/s/o/j/narzo-50i-rmx3231-realme-original-imag75h86v5thnzy.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-mint-green-64-gb/p/itm53fa214c23501?pid=MOBG6MY4FYFMQ3JF&lid=LSTMOBG6MY4FYFMQ3JFAYLDK3&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG6MY4FYFMQ3JF.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
4,"POCO C31 (Shadow Gray, 64 GB)","9,999",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/b/o/m/c31-mzb0a0min-poco-original-imag7bzqxekkpkrv.jpeg?q=70,https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
5,"POCO C31 (Royal Blue, 64 GB)","9,999",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70,https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
6,"realme Narzo 50 (Speed Blue, 64 GB)","12,999",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70,https://www.flipkart.com/realme-narzo-50-speed-blue-64-gb/p/itm9d47ef5d10145?pid=MOBGC2E72ZFW9HBY&lid=LSTMOBGC2E72ZFW9HBYP8MQ5X&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC2E72ZFW9HBY.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
7,"REDMI 10 (Pacific Blue, 64 GB)","9,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/w/r/t/-original-imagcgtgwg5taegn.jpeg?q=70,https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW1PUFXX&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
8,"realme Narzo 50 (Speed Black, 64 GB)","12,999",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/k/4/l/-original-imagc4qjnkzhty3h.jpeg?q=70,https://www.flipkart.com/realme-narzo-50-speed-black-64-gb/p/itm9d47ef5d10145?pid=MOBGC2E7QBD3ARH2&lid=LSTMOBGC2E7QBD3ARH28JKTRN&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC2E7QBD3ARH2.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
9,"REDMI 10 (Midnight Black, 64 GB)","9,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/x/f/u/-original-imagcgtghym8theg.jpeg?q=70,https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4EOWOH9V&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
10,"realme Narzo 50 (Speed Black, 128 GB)","15,499",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/k/4/l/-original-imagc4qjnkzhty3h.jpeg?q=70,https://www.flipkart.com/realme-narzo-50-speed-black-128-gb/p/itm9d47ef5d10145?pid=MOBGC2E7VUH9YBWT&lid=LSTMOBGC2E7VUH9YBWTHCAUBJ&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_11&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC2E7VUH9YBWT.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
11,"POCO C31 (Royal Blue, 32 GB)","8,999",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70,https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBDYSPVO&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_12&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG73E7ZBHHQ3RB.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
12,"APPLE iPhone 12 (Black, 128 GB)","65,499",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70,https://www.flipkart.com/apple-iphone-12-black-128-gb/p/itmf1f0a58f1ecd7?pid=MOBFWBYZK3HACR72&lid=LSTMOBFWBYZK3HACR72T8MSUQ&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_13&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBFWBYZK3HACR72.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
13,"REDMI 10 (Caribbean Green, 64 GB)","9,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/d/d/s/-original-imagcgtgyqebxqhx.jpeg?q=70,https://www.flipkart.com/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3NDJY6R&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_14&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC9GYQGGKWEU3.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
14,"POCO M4 5G (Power Black, 64 GB)","13,049",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/1/y/-original-imagdu8gtefvchbn.jpeg?q=70,https://www.flipkart.com/poco-m4-5g-power-black-64-gb/p/itmdca739218a8a0?pid=MOBGDRGPZTSHNQ5H&lid=LSTMOBGDRGPZTSHNQ5HUH1I7O&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_15&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGDRGPZTSHNQ5H.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
15,"realme 9i (Prism Black, 128 GB)","16,049",https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGOTCEDF&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_16&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG9VGV65TK6YZG.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
16,"realme 9i (Prism Blue, 128 GB)","16,049",https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHNX3XN33&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_17&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG9VGV2Q9PDXHN.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
17,"POCO M4 5G (Cool Blue, 64 GB)","13,049",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/p/o/-original-imagdu8j9vxscfdh.jpeg?q=70,https://www.flipkart.com/poco-m4-5g-cool-blue-64-gb/p/itm7b27dd2f5da7e?pid=MOBGDRGPD6YGVHXZ&lid=LSTMOBGDRGPD6YGVHXZQNZP4U&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_18&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGDRGPD6YGVHXZ.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
18,"APPLE iPhone 12 (Blue, 128 GB)","65,499",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/y/7/n/apple-iphone-12-dummyapplefsn-original-imafwg8dpyjvgg3j.jpeg?q=70,https://www.flipkart.com/apple-iphone-12-blue-128-gb/p/itm02853ae92e90a?pid=MOBFWBYZKPTZF9VG&lid=LSTMOBFWBYZKPTZF9VGJD5AMO&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_19&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBFWBYZKPTZF9VG.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
19,"realme C31 (Dark Green, 32 GB)","9,299",https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/p/r/0/-original-imagcyj2prahc4pk.jpeg?q=70,https://www.flipkart.com/realme-c31-dark-green-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVAXYT3EGYR&lid=LSTMOBGCGVAXYT3EGYRW8CSTQ&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_20&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGCGVAXYT3EGYR.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
20,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","13,999",https://rukminim1.flixcart.com/image/312/312/kqqykcw0/mobile/j/5/7/galaxy-f22-sm-e225flbdins-samsung-original-imag4z99fp4qdfby.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f22-denim-blue-128-gb/p/itm30c755943bea0?pid=MOBG43UGRSMJXTMH&lid=LSTMOBG43UGRSMJXTMH8AUDHE&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_21&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG43UGRSMJXTMH.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
21,"MOTOROLA G60 (Moonless, 128 GB)","16,199",https://rukminim1.flixcart.com/image/312/312/l0o6nbk0/mobile/y/s/e/-original-imagceu559m75mks.jpeg?q=70,https://www.flipkart.com/motorola-g60-moonless-128-gb/p/itma894654fddb46?pid=MOBG9CJ6KRYW4NJT&lid=LSTMOBG9CJ6KRYW4NJTP2I8X0&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_22&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG9CJ6KRYW4NJT.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
22,"realme C31 (Light Silver, 32 GB)","9,299",https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/f/t/x/-original-imagcyj4unsxhadw.jpeg?q=70,https://www.flipkart.com/realme-c31-light-silver-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVA3DANQNQH&lid=LSTMOBGCGVA3DANQNQHPKNMV9&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_23&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGCGVA3DANQNQH.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
23,"MOTOROLA g31 (Meteorite Grey, 64 GB)","12,009",https://rukminim1.flixcart.com/image/312/312/l1l1rww0/mobile/j/e/u/-original-imagd48zzrkcjfn2.jpeg?q=70,https://www.flipkart.com/motorola-g31-meteorite-grey-64-gb/p/itmbdda30a7812a0?pid=MOBG3E8WK7736ZH5&lid=LSTMOBG3E8WK7736ZH5PDBHI4&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_24&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG3E8WK7736ZH5.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
